"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","desgosto"
1.78,0.48,4.85,0,0.01,0,0,0,0.08,0,0.11,0,-0.03,-1.74,0,-1.74,FALSE
0.35,0,0.37,0,0.19,0,-0.01,-1.5,0,0,0,0.23,0.28,0,0.28,0,FALSE
0,0,0,0,0,0,0,-1.63,0,0,0,0,0,0,0,0,FALSE
0.17,0.65,3.14,0,0,0,0,-5.06,0,0,0,-0.13,0.06,0,0.06,-1.1,FALSE
2.59,0.05,2.75,-0.04,0.02,0,0.1,-0.23,0,0,0,0,0.08,-0.1,0.19,-0.21,FALSE
3.42,0.08,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
0.09,0,0.11,0,0,-0.07,0,-0.11,0,0,0,-0.04,0.08,0,0.08,0,FALSE
0,-0.16,1.61,0,0,-1.85,0,-1.75,0,0,0,0,0,-1.88,0,-2.81,TRUE
0.89,0,0.84,0,0,0,0,-1.28,0,0,0,-0.01,0.1,0,0.1,0,FALSE
0.26,0,0.27,0,0.24,0,0.1,-0.1,0,0,0,0,0.25,0,0.25,-0.07,FALSE
0,0,0,0,0.19,0,-0.01,0,0,0,0,0,0.2,0,0.2,-0.06,FALSE
1.59,0,1.62,0,0,0,0,-3.18,0,0.04,0.18,0.16,0,0,0,0,FALSE
0.15,0,0.1,0,0,-0.05,0,-1.87,0,0,0,-0.42,0,-0.06,0,-0.06,TRUE
0.24,0.15,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1.28,0,0.98,0,0.36,0,0.38,0,0,0,0,0,0.61,0,0.61,-0.71,TRUE
0,0.11,1.91,0,0.3,0,0.08,0,0,0,0,0,0.3,0,0.3,0,FALSE
3.82,0.21,5.16,0,0.16,0,0.13,0,0,0,0,0,0.09,0,0.09,0,FALSE
1.78,0,1.9,0,0,0,0,-3.3,0,0,0,-0.08,0,0,0,0,TRUE
0.5,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0.46,-0.09,3.49,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0,FALSE
1.57,-0.15,2.82,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,TRUE
