"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
0,0,0.07,-0.04,0,0,0,0,0.99,0,0,0,0,0,0,-0.7,0,0,0,0.76,0.38,0,0,0,"Neutro"
0.78,0,0,0,0,0,0.8,0,0,-0.08,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,"Neutro"
1.71,0,0.04,-0.05,0,0,0.85,0,0.12,-0.05,0,0,0,0,0,-0.05,0,0,1.68,0,0.13,0,0,0,"Tristeza"
0.91,0,0.4,-0.06,0,-0.91,0,0.35,0.32,-0.1,0,-0.84,0,0,0.11,-0.68,0,-0.73,0.82,0,0.91,-0.1,0,-0.99,"Medo"
0,0,0,0,-0.57,-1.7,0,0,0.16,0,0,0,1.45,0,0,-0.1,0,-1.93,0,0,0.23,0,0,-4.02,"Medo"
0.83,0,0.03,0,0,0,0,0,0.11,-0.05,0,0,0,0,0,-0.07,0,0,0,0,0.05,0,0,0,"Medo"
1.7,0,0.06,0,0,0,1.66,0,0.08,0,0,0,0,0,0,-0.08,0,0,1.7,0,0.24,0,0,-0.86,"Tristeza"
0.99,0,0.15,-0.11,0,0,0,0,0.62,-0.13,0,0,0,0,0,-0.36,0,0,0.98,0,0.63,-0.05,0,0,"Neutro"
0.93,0,0.22,-0.12,0,-0.72,0.85,0,0.16,-0.04,0,0,0.88,0,0,-0.13,0,0,0.97,0,0.22,-0.25,0,-0.76,"Neutro"
2.63,0,0.07,0,-1.12,0,1.72,0,0.46,0,0,0,1.4,0,0.01,0,0,0,1.76,0,0.42,0,0,-1.76,"Surpresa"
0,0,0,-0.2,0,0,0,0,0.21,-0.02,0,0,0.73,0,0.02,-0.38,0,0,0,0,0.08,-0.15,0,-0.76,"Surpresa"
0.86,0,0,-0.06,0,0,0,0,0.22,0,0,-0.79,0,0,0,-0.23,0,0,0.93,0,0.4,0,0,0,"Medo"
0.75,0,0,0,0,0,0,0,0.29,0,-0.6,0,0,0,0,-0.1,0,0,0,0.63,0.41,0,0,0,"Neutro"
0,0,0,0,-0.52,0,0,0,0,-0.05,0,0,0.78,0,0,0,0,0,0,0,0.05,0,0,-0.98,"Surpresa"
1.77,0.96,0,0,0,0,0.72,0.39,0,0,-0.62,0,1.52,0,0,-0.22,0,-0.75,1.66,0.6,0.2,0,0,-1.67,"Alegria"
1.63,0.61,0.42,0,0,0,0.79,0.46,0.08,-0.08,-0.53,-0.8,0.94,0,0.04,-0.09,-0.35,0,2.67,0.44,0.23,0,0,-0.81,"Neutro"
0,0,0.1,0,-0.63,0,0,0,0,-0.03,0,0,0.83,0,0,0,0,-0.71,0,0,0,-0.03,0,-1.51,"Alegria"
0.79,0,0.12,0,0,-0.92,0.87,0,0.28,0,0,0,0.86,0,0,-0.11,0,0,0,0,0.33,0,0,-0.9,"Neutro"
0.83,0.49,0,-0.03,0,0,0.67,0,0.12,0,0,0,0,0,0,-0.34,0,0,0,0,0.33,-0.1,0,0,"Surpresa"
0.73,0,0,0,-0.64,-0.88,0.77,0,0.17,0,0,0,1.55,0,0,-0.09,0,0,0.84,0,0.09,0,0,-1.47,"Tristeza"
0.73,0,0.04,0,0,-0.77,0,0,0,0,-0.57,0,0.76,0,0,0,0,0,0,0.62,0.07,0,0,-0.86,"Tristeza"
0,0,0.04,-0.13,-0.64,0,0,0,0.18,-0.06,0,0,0,0.61,0,0,0,0,0,0,0.21,-0.13,0,-0.85,"Alegria"
2.74,0,0.06,0,0,0,0,0,0.42,0,-0.58,0,0,0,0.07,-0.12,0,0,2.89,0,0.37,0,0,0,"Medo"
0.93,0,0.06,0,0,0,0.85,0,0.14,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,-0.86,"Tristeza"
2.4,0,0,0,-0.6,-0.98,0.93,0,0.2,0,-1.18,0,0.99,0,0,-0.13,0,-0.82,0.72,0.63,0.19,0,0,-1.9,"Neutro"
0.93,0,0.1,0,0,0,0.85,0,0.4,-0.05,0,0,0,0,0,-0.1,0,0,0.97,0,0.48,0,0,0,"Tristeza"
0,0,0.05,-0.07,0,-0.91,0,0,0,0,0,0,0,0.65,0.04,-0.1,0,0,0,0,0.11,-0.19,0,0,"Tristeza"
0.97,0,0.03,-0.04,0,0,0.8,0,0.38,0,0,0,0,0,0.03,-0.15,0,0,1.59,0,0.49,0,0,0,"Tristeza"
0,0,0.03,-0.41,0,-1.54,0,0.34,0.07,-0.06,0,0,1.85,0,0.08,-0.35,0,0,0,0,0.39,-0.22,-1.11,0,"Alegria"
0.85,0,0.33,-0.12,0,0,0,0,0.84,-0.05,-1.15,0,0,0,0.02,-0.26,0,0,0,0.54,0.87,-0.17,0,0,"Alegria"
0,0,0.08,-0.16,0,0,0,0,0.8,0,0,0,0,0,0,-0.42,0,0,0,0,0.86,0,0,0,"Tristeza"
0.8,0,0,0,0,-0.89,0,0,0,0,0,-0.98,0.94,0,0,0,0,0,0,0.51,0,0,0,0,"Medo"
0.85,0,0,-0.03,0,0,0,0,0.47,0,0,-0.7,0,0,0,-0.17,0,0,0.91,0,0.45,0,0,0,"Medo"
0,0,0.08,-0.04,0,-0.73,0,0,0.44,0,0,0,0.92,0,0,-0.41,0,0,0,0,0.44,0,-0.55,0,"Surpresa"
0.8,0.63,0.15,-0.05,0,0,0,0,0.81,0,-1.18,0,0,0,0,-0.18,0,0,1.72,0,0.71,0,0,0,"Medo"
