"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
1,1,0,2,0,0,0,0,1,1,1,1,0,0,0,4,0,0,2,0,1,1,0,0,"MedoSurpresaTristeza"
0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"NeutroSurpresa"
2,0,1,0,1,0,1,0,1,2,0,0,1,0,0,3,0,0,0,0,1,2,0,1,"MedoSurpresaTristeza"
1,1,0,3,1,0,0,0,2,2,1,1,0,1,0,5,0,0,2,0,3,0,0,1,"DesgostoNeutro"
1,0,3,0,0,0,1,0,3,1,0,0,0,0,0,5,0,0,1,1,2,1,0,0,"DesgostoTristeza"
0,0,3,2,0,0,0,0,4,1,0,0,0,0,0,5,0,0,0,0,4,1,0,0,"DesgostoTristeza"
1,0,0,1,0,1,1,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,1,1,"DesgostoMedoTristeza"
0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,1,2,1,0,0,"Neutro"
0,0,1,2,1,0,0,0,2,2,0,0,1,0,2,1,0,0,0,0,2,1,0,1,"DesgostoTristeza"
1,0,3,1,0,1,0,0,1,4,0,1,0,1,2,3,0,0,1,0,2,2,0,0,"DesgostoTristeza"
2,0,2,1,0,0,2,0,3,0,0,0,0,0,2,3,0,0,1,0,3,1,0,0,"DesgostoRaiva"
0,0,1,4,1,0,0,1,5,0,0,0,0,0,0,6,0,0,0,0,4,2,0,0,"NeutroSurpresa"
1,0,0,2,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,1,1,1,0,0,"DesgostoNeutroRaiva"
0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Neutro"
